"time","transferFunction.y","transferFunction.u"
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,0,0
1.13,0,0
1.14,0,0
1.15,0,0
1.16,0,0
1.17,0,0
1.18,0,0
1.19,0,0
1.2,0,0
1.21,0,0
1.22,0,0
1.23,0,0
1.24,0,0
1.25,0,0
1.26,0,0
1.27,0,0
1.28,0,0
1.29,0,0
1.3,0,0
1.31,0,0
1.32,0,0
1.33,0,0
1.34,0,0
1.35,0,0
1.36,0,0
1.37,0,0
1.38,0,0
1.39,0,0
1.4,0,0
1.41,0,0
1.42,0,0
1.43,0,0
1.44,0,0
1.45,0,0
1.46,0,0
1.47,0,0
1.48,0,0
1.49,0,0
1.5,0,0
1.51,0,0
1.52,0,0
1.53,0,0
1.54,0,0
1.55,0,0
1.56,0,0
1.57,0,0
1.58,0,0
1.59,0,0
1.6,0,0
1.61,0,0
1.62,0,0
1.63,0,0
1.64,0,0
1.65,0,0
1.66,0,0
1.67,0,0
1.68,0,0
1.69,0,0
1.7,0,0
1.71,0,0
1.72,0,0
1.73,0,0
1.74,0,0
1.75,0,0
1.76,0,0
1.77,0,0
1.78,0,0
1.79,0,0
1.8,0,0
1.81,0,0
1.82,0,0
1.83,0,0
1.84,0,0
1.85,0,0
1.86,0,0
1.87,0,0
1.88,0,0
1.89,0,0
1.9,0,0
1.91,0,0
1.92,0,0
1.93,0,0
1.94,0,0
1.95,0,0
1.96,0,0
1.97,0,0
1.98,0,0
1.99,0,0
2,0,0
2.01,0,0
2.02,0,0
2.03,0,0
2.04,0,0
2.05,0,0
2.06,0,0
2.07,0,0
2.08,0,0
2.09,0,0
2.1,0,0
2.11,0,0
2.12,0,0
2.13,0,0
2.14,0,0
2.15,0,0
2.16,0,0
2.17,0,0
2.18,0,0
2.19,0,0
2.2,0,0
2.21,0,0
2.22,0,0
2.23,0,0
2.24,0,0
2.25,0,0
2.26,0,0
2.27,0,0
2.28,0,0
2.29,0,0
2.3,0,0
2.31,0,0
2.32,0,0
2.33,0,0
2.34,0,0
2.35,0,0
2.36,0,0
2.37,0,0
2.38,0,0
2.39,0,0
2.4,0,0
2.41,0,0
2.42,0,0
2.43,0,0
2.44,0,0
2.45,0,0
2.46,0,0
2.47,0,0
2.48,0,0
2.49,0,0
2.5,0,0
2.51,0,0
2.52,0,0
2.53,0,0
2.54,0,0
2.55,0,0
2.56,0,0
2.57,0,0
2.58,0,0
2.59,0,0
2.6,0,0
2.61,0,0
2.62,0,0
2.63,0,0
2.64,0,0
2.65,0,0
2.66,0,0
2.67,0,0
2.68,0,0
2.69,0,0
2.7,0,0
2.71,0,0
2.72,0,0
2.73,0,0
2.74,0,0
2.75,0,0
2.76,0,0
2.77,0,0
2.78,0,0
2.79,0,0
2.8,0,0
2.81,0,0
2.82,0,0
2.83,0,0
2.84,0,0
2.85,0,0
2.86,0,0
2.87,0,0
2.88,0,0
2.89,0,0
2.9,0,0
2.91,0,0
2.92,0,0
2.93,0,0
2.94,0,0
2.95,0,0
2.96,0,0
2.97,0,0
2.98,0,0
2.99,0,0
3,0,0
3.01,0,0
3.02,0,0
3.03,0,0
3.04,0,0
3.05,0,0
3.06,0,0
3.07,0,0
3.08,0,0
3.09,0,0
3.1,0,0
3.11,0,0
3.12,0,0
3.13,0,0
3.14,0,0
3.15,0,0
3.16,0,0
3.17,0,0
3.18,0,0
3.19,0,0
3.2,0,0
3.21,0,0
3.22,0,0
3.23,0,0
3.24,0,0
3.25,0,0
3.26,0,0
3.27,0,0
3.28,0,0
3.29,0,0
3.3,0,0
3.31,0,0
3.32,0,0
3.33,0,0
3.34,0,0
3.35,0,0
3.36,0,0
3.37,0,0
3.38,0,0
3.39,0,0
3.4,0,0
3.41,0,0
3.42,0,0
3.43,0,0
3.44,0,0
3.45,0,0
3.46,0,0
3.47,0,0
3.48,0,0
3.49,0,0
3.5,0,0
3.51,0,0
3.52,0,0
3.53,0,0
3.54,0,0
3.55,0,0
3.56,0,0
3.57,0,0
3.58,0,0
3.59,0,0
3.6,0,0
3.61,0,0
3.62,0,0
3.63,0,0
3.64,0,0
3.65,0,0
3.66,0,0
3.67,0,0
3.68,0,0
3.69,0,0
3.7,0,0
3.71,0,0
3.72,0,0
3.73,0,0
3.74,0,0
3.75,0,0
3.76,0,0
3.77,0,0
3.78,0,0
3.79,0,0
3.8,0,0
3.81,0,0
3.82,0,0
3.83,0,0
3.84,0,0
3.85,0,0
3.86,0,0
3.87,0,0
3.88,0,0
3.89,0,0
3.9,0,0
3.91,0,0
3.92,0,0
3.93,0,0
3.94,0,0
3.95,0,0
3.96,0,0
3.97,0,0
3.98,0,0
3.99,0,0
4,0,0
4.01,0,0
4.02,0,0
4.03,0,0
4.04,0,0
4.05,0,0
4.06,0,0
4.07,0,0
4.08,0,0
4.09,0,0
4.1,0,0
4.11,0,0
4.12,0,0
4.13,0,0
4.14,0,0
4.15,0,0
4.16,0,0
4.17,0,0
4.18,0,0
4.19,0,0
4.2,0,0
4.21,0,0
4.22,0,0
4.23,0,0
4.24,0,0
4.25,0,0
4.26,0,0
4.27,0,0
4.28,0,0
4.29,0,0
4.3,0,0
4.31,0,0
4.32,0,0
4.33,0,0
4.34,0,0
4.35,0,0
4.36,0,0
4.37,0,0
4.38,0,0
4.39,0,0
4.4,0,0
4.41,0,0
4.42,0,0
4.43,0,0
4.44,0,0
4.45,0,0
4.46,0,0
4.47,0,0
4.48,0,0
4.49,0,0
4.5,0,0
4.51,0,0
4.52,0,0
4.53,0,0
4.54,0,0
4.55,0,0
4.56,0,0
4.57,0,0
4.58,0,0
4.59,0,0
4.6,0,0
4.61,0,0
4.62,0,0
4.63,0,0
4.64,0,0
4.65,0,0
4.66,0,0
4.67,0,0
4.68,0,0
4.69,0,0
4.7,0,0
4.71,0,0
4.72,0,0
4.73,0,0
4.74,0,0
4.75,0,0
4.76,0,0
4.77,0,0
4.78,0,0
4.79,0,0
4.8,0,0
4.81,0,0
4.82,0,0
4.83,0,0
4.84,0,0
4.85,0,0
4.86,0,0
4.87,0,0
4.88,0,0
4.89,0,0
4.9,0,0
4.91,0,0
4.92,0,0
4.93,0,0
4.94,0,0
4.95,0,0
4.96,0,0
4.97,0,0
4.98,0,0
4.99,0,0
5,0,0
5.000000001000031,0,0
5.000000001000031,-0.6106719367588933,20
5.01,0.4006136298126375,20
5.02,0.6790371129244943,20
5.03,0.8327793373349821,20
5.04,0.9201130250426133,20
5.05,0.9697617584645972,20
5.06,0.9979874317126927,20
5.07,1.0140339513263594,20
5.08,1.0231565253351733,20
5.09,1.0283427811329018,20
5.1,1.0312912087504171,20
5.11,1.0329674132733238,20
5.12,1.0339203488609219,20
5.13,1.034462100312931,20
5.14,1.0347700903172414,20
5.15,1.034945185081452,20
5.16,1.035044727845906,20
5.17,1.0351013186982934,20
5.18,1.035133490655364,20
5.19,1.0351517803435186,20
5.2,1.0351621784603717,20
5.21,1.0351680900625642,20
5.22,1.0351714509545347,20
5.23,1.0351733617129435,20
5.24,1.0351744480286953,20
5.25,1.0351750654852256,20
5.26,1.0351754163312026,20
5.27,1.035175615893691,20
5.28,1.035175729483348,20
5.29,1.035175794080315,20
5.3,1.0351758308496175,20
5.31,1.0351758517780885,20
5.32,1.03517586367827,20
5.33,1.035175870449427,20
5.34,1.0351758742276957,20
5.35,1.035175876302617,20
5.36,1.0351758773427084,20
5.37,1.035175877879717,20
5.38,1.0351758786928933,20
5.39,1.0351758796168125,20
5.4,1.0351758793405845,20
5.41,1.0351758793651722,20
5.42,1.0351758793772587,20
5.43,1.0351758793856507,20
5.44,1.0351758793905645,20
5.45,1.0351758793898813,20
5.46,1.0351758793936254,20
5.47,1.035175879396025,20
5.48,1.035175879396857,20
5.49,1.0351758793966788,20
5.5,1.0351758793964878,20
5.51,1.0351758793981538,20
5.52,1.0351758793970103,20
5.53,1.035175879397206,20
5.54,1.0351758793979788,20
5.55,1.035175879397231,20
5.56,1.0351758793959636,20
5.57,1.035175879399286,20
5.58,1.0351758793983286,20
5.59,1.0351758793940808,20
5.6,1.0351758793976398,20
5.61,1.0351758793970793,20
5.62,1.0351758793964458,20
5.63,1.0351758793937225,20
5.64,1.0351758793948418,20
5.65,1.0351758793962986,20
5.66,1.0351758793959083,20
5.67,1.0351758793958588,20
5.68,1.0351758793930073,20
5.69,1.0351758793831174,20
5.7,1.0351758793730874,20
5.71,1.0351758793638512,20
5.72,1.035175879355773,20
5.73,1.0351758793598584,20
5.74,1.0351758793639436,20
5.75,1.0351758793680295,20
5.76,1.035175879372115,20
5.77,1.0351758793780754,20
5.78,1.0351758793891577,20
5.79,1.0351758794002393,20
5.8,1.0351758794113217,20
5.81,1.0351758794224035,20
5.82,1.035175879433486,20
5.83,1.035175879444568,20
5.84,1.0351758794556503,20
5.85,1.0351758794667325,20
5.86,1.0351758794778145,20
5.87,1.0351758794795123,20
5.88,1.0351758794757004,20
5.89,1.0351758794718886,20
5.9,1.035175879468077,20
5.91,1.0351758794642651,20
5.92,1.0351758794604535,20
5.93,1.035175879456642,20
5.94,1.0351758794528299,20
5.95,1.0351758794490182,20
5.96,1.0351758794452066,20
5.97,1.035175879441395,20
5.98,1.0351758794375832,20
5.99,1.0351758794337713,20
6,1.0351758794299595,20
6.01,1.0351758794261479,20
6.02,1.0351758794223362,20
6.03,1.0351758794185246,20
6.04,1.035175879414713,20
6.05,1.0351758794109007,20
6.06,1.0351758794073045,20
6.07,1.0351758794041004,20
6.08,1.035175879400896,20
6.09,1.0351758793976922,20
6.1,1.0351758793944876,20
6.11,1.0351758793912833,20
6.12,1.0351758793880792,20
6.13,1.0351758793848749,20
6.14,1.0351758793816708,20
6.15,1.0351758793784664,20
6.16,1.0351758793752623,20
6.17,1.0351758793720578,20
6.18,1.035175879368854,20
6.19,1.0351758793656496,20
6.2,1.0351758793624453,20
6.21,1.0351758793592412,20
6.22,1.0351758793560368,20
6.23,1.0351758793528327,20
6.24,1.0351758793496284,20
6.25,1.0351758793464243,20
6.26,1.03517587934322,20
6.27,1.0351758793400159,20
6.28,1.0351758793368115,20
6.29,1.0351758793336072,20
6.3,1.035175879330403,20
6.31,1.035175879327199,20
6.32,1.0351758793239945,20
6.33,1.0351758793207904,20
6.34,1.035175879317586,20
6.35,1.0351758793143817,20
6.36,1.0351758793111776,20
6.37,1.0351758793079735,20
6.38,1.0351758793047692,20
6.39,1.0351758793015648,20
6.4,1.0351758792983607,20
6.41,1.0351758792951564,20
6.42,1.0351758792919523,20
6.43,1.035175879288748,20
6.44,1.0351758792855437,20
6.45,1.0351758792860581,20
6.46,1.0351758792874857,20
6.47,1.0351758792889134,20
6.48,1.0351758792903407,20
6.49,1.035175879291768,20
6.5,1.0351758792931955,20
6.51,1.0351758792946228,20
6.52,1.0351758792960504,20
6.53,1.0351758792974777,20
6.54,1.0351758792989054,20
6.55,1.0351758793003327,20
6.56,1.03517587930176,20
6.57,1.0351758793031876,20
6.58,1.035175879304615,20
6.59,1.0351758793060424,20
6.6,1.03517587930747,20
6.61,1.0351758793088974,20
6.62,1.0351758793103247,20
6.63,1.0351758793117523,20
6.64,1.0351758793131798,20
6.65,1.035175879314607,20
6.66,1.0351758793160346,20
6.67,1.0351758793174621,20
6.68,1.0351758793188894,20
6.69,1.035175879320317,20
6.7,1.0351758793217443,20
6.71,1.0351758793231718,20
6.72,1.0351758793245993,20
6.73,1.035175879326027,20
6.74,1.0351758793274541,20
6.75,1.0351758793288817,20
6.76,1.0351758793303092,20
6.77,1.0351758793317363,20
6.78,1.035175879333164,20
6.79,1.0351758793345918,20
6.8,1.0351758793360188,20
6.81,1.0351758793374464,20
6.82,1.035175879338874,20
6.83,1.035175879340301,20
6.84,1.0351758793417287,20
6.85,1.0351758793431565,20
6.86,1.0351758793445835,20
6.87,1.035175879346011,20
6.88,1.0351758793474386,20
6.89,1.0351758793488657,20
6.9,1.0351758793502934,20
6.91,1.035175879351721,20
6.92,1.0351758793531483,20
6.93,1.0351758793545758,20
6.94,1.0351758793560033,20
6.95,1.0351758793574304,20
6.96,1.0351758793588581,20
6.97,1.0351758793602857,20
6.98,1.0351758793617127,20
6.99,1.0351758793631405,20
7,1.035175879364568,20
7.01,1.035175879365995,20
7.02,1.0351758793674228,20
7.03,1.0351758793688501,20
7.04,1.0351758793702777,20
7.05,1.0351758793717052,20
7.06,1.0351758793731325,20
7.07,1.03517587937456,20
7.08,1.0351758793759873,20
7.09,1.0351758793774148,20
7.1,1.0351758793788424,20
7.11,1.03517587938027,20
7.12,1.0351758793816972,20
7.13,1.0351758793831247,20
7.14,1.035175879384552,20
7.15,1.0351758793859793,20
7.16,1.035175879387407,20
7.17,1.0351758793888346,20
7.18,1.035175879390262,20
7.19,1.0351758793916894,20
7.2,1.0351758793931167,20
7.21,1.035175879394544,20
7.22,1.035175879394983,20
7.23,1.0351758793949977,20
7.24,1.0351758793950123,20
7.25,1.0351758793950272,20
7.26,1.0351758793950419,20
7.27,1.0351758793950567,20
7.28,1.0351758793950714,20
7.29,1.035175879395086,20
7.3,1.0351758793951007,20
7.31,1.0351758793951154,20
7.32,1.0351758793951302,20
7.33,1.0351758793951449,20
7.34,1.0351758793951598,20
7.35,1.0351758793951744,20
7.36,1.0351758793951888,20
7.37,1.0351758793952037,20
7.38,1.0351758793952184,20
7.39,1.0351758793952333,20
7.4,1.035175879395248,20
7.41,1.0351758793952626,20
7.42,1.0351758793952772,20
7.43,1.0351758793952919,20
7.44,1.0351758793953068,20
7.45,1.0351758793953214,20
7.46,1.0351758793953363,20
7.47,1.0351758793953507,20
7.48,1.0351758793953656,20
7.49,1.0351758793953802,20
7.5,1.035175879395395,20
7.51,1.0351758793954098,20
7.52,1.0351758793954244,20
7.53,1.035175879395439,20
7.54,1.035175879395454,20
7.55,1.0351758793954686,20
7.56,1.0351758793954833,20
7.57,1.035175879395498,20
7.58,1.0351758793955128,20
7.59,1.0351758793955275,20
7.6,1.0351758793955421,20
7.61,1.035175879395557,20
7.62,1.0351758793955717,20
7.63,1.0351758793955863,20
7.64,1.035175879395601,20
7.65,1.0351758793956156,20
7.66,1.0351758793956305,20
7.67,1.0351758793956451,20
7.68,1.03517587939566,20
7.69,1.0351758793956747,20
7.7,1.0351758793956893,20
7.71,1.035175879395704,20
7.72,1.0351758793957186,20
7.73,1.0351758793957335,20
7.74,1.0351758793957482,20
7.75,1.0351758793957628,20
7.76,1.0351758793957777,20
7.77,1.0351758793957921,20
7.78,1.035175879395807,20
7.79,1.0351758793958217,20
7.8,1.0351758793958366,20
7.81,1.035175879395851,20
7.82,1.0351758793958659,20
7.83,1.0351758793958807,20
7.84,1.0351758793958952,20
7.85,1.03517587939591,20
7.86,1.0351758793959247,20
7.87,1.0351758793959394,20
7.88,1.035175879395954,20
7.89,1.035175879395969,20
7.9,1.0351758793959838,20
7.91,1.0351758793959982,20
7.92,1.035175879396013,20
7.93,1.0351758793960275,20
7.94,1.0351758793960424,20
7.95,1.0351758793960573,20
7.96,1.035175879396072,20
7.97,1.0351758793960866,20
7.98,1.0351758793961012,20
7.99,1.0351758793961159,20
8,1.0351758793961305,20
8.01,1.0351758793961454,20
8.02,1.0351758793961603,20
8.03,1.035175879396175,20
8.04,1.0351758793961896,20
8.05,1.035175879396204,20
8.06,1.035175879396219,20
8.07,1.0351758793962338,20
8.08,1.0351758793962484,20
8.09,1.0351758793962633,20
8.1,1.035175879396278,20
8.11,1.0351758793962924,20
8.12,1.035175879396307,20
8.13,1.035175879396322,20
8.14,1.0351758793963368,20
8.15,1.0351758793963515,20
8.16,1.0351758793963661,20
8.17,1.0351758793963808,20
8.18,1.0351758793963954,20
8.19,1.0351758793964103,20
8.2,1.035175879396425,20
8.21,1.0351758793964398,20
8.22,1.0351758793964543,20
8.23,1.0351758793964692,20
8.24,1.035175879396484,20
8.25,1.0351758793964985,20
8.26,1.0351758793965133,20
8.27,1.035175879396528,20
8.28,1.0351758793965427,20
8.29,1.0351758793965573,20
8.3,1.0351758793965722,20
8.31,1.035175879396587,20
8.32,1.0351758793966015,20
8.33,1.0351758793966164,20
8.34,1.0351758793966308,20
8.35,1.0351758793966457,20
8.36,1.0351758793966606,20
8.37,1.0351758793966752,20
8.38,1.0351758793966899,20
8.39,1.0351758793967045,20
8.4,1.0351758793967192,20
8.41,1.0351758793967338,20
8.42,1.0351758793967487,20
8.43,1.0351758793967636,20
8.44,1.035175879396778,20
8.45,1.035175879396793,20
8.46,1.0351758793968073,20
8.47,1.0351758793968222,20
8.48,1.035175879396837,20
8.49,1.0351758793968517,20
8.5,1.0351758793968664,20
8.51,1.035175879396881,20
8.52,1.0351758793968957,20
8.53,1.0351758793969104,20
8.54,1.0351758793969252,20
8.55,1.0351758793969401,20
8.56,1.0351758793969545,20
8.57,1.0351758793969694,20
8.58,1.035175879396984,20
8.59,1.0351758793969987,20
8.6,1.0351758793970136,20
8.61,1.0351758793970283,20
8.62,1.035175879397043,20
8.63,1.0351758793970576,20
8.64,1.0351758793970725,20
8.65,1.035175879397087,20
8.66,1.0351758793971018,20
8.67,1.0351758793971166,20
8.68,1.035175879397131,20
8.69,1.035175879397146,20
8.7,1.0351758793971606,20
8.71,1.0351758793971755,20
8.72,1.0351758793971904,20
8.73,1.0351758793972048,20
8.74,1.0351758793972194,20
8.75,1.035175879397234,20
8.76,1.03517587939725,20
8.77,1.0351758793972667,20
8.78,1.0351758793972838,20
8.79,1.0351758793973003,20
8.8,1.0351758793973174,20
8.81,1.035175879397334,20
8.82,1.035175879397351,20
8.83,1.035175879397368,20
8.84,1.0351758793973846,20
8.85,1.0351758793974015,20
8.86,1.0351758793974182,20
8.87,1.035175879397435,20
8.88,1.035175879397452,20
8.89,1.0351758793974688,20
8.9,1.0351758793974857,20
8.91,1.0351758793975026,20
8.92,1.0351758793975192,20
8.93,1.0351758793975359,20
8.94,1.035175879397553,20
8.95,1.0351758793975694,20
8.96,1.0351758793975865,20
8.97,1.0351758793976034,20
8.98,1.03517587939762,20
8.99,1.0351758793976369,20
9,1.0351758793976535,20
9.01,1.0351758793976706,20
9.02,1.0351758793976873,20
9.03,1.0351758793977042,20
9.04,1.0351758793977213,20
9.05,1.035175879397738,20
9.06,1.0351758793977548,20
9.07,1.0351758793977714,20
9.08,1.0351758793977885,20
9.09,1.0351758793978048,20
9.1,1.0351758793978219,20
9.11,1.035175879397839,20
9.12,1.0351758793978554,20
9.13,1.0351758793978725,20
9.14,1.0351758793978891,20
9.15,1.035175879397906,20
9.16,1.0351758793979227,20
9.17,1.0351758793979398,20
9.18,1.0351758793979566,20
9.19,1.0351758793979733,20
9.2,1.0351758793979902,20
9.21,1.035175879398007,20
9.22,1.035175879398024,20
9.23,1.0351758793980406,20
9.24,1.0351758793980577,20
9.25,1.0351758793980745,20
9.26,1.035175879398091,20
9.27,1.035175879398108,20
9.28,1.0351758793981245,20
9.29,1.0351758793981416,20
9.3,1.0351758793981582,20
9.31,1.0351758793981751,20
9.32,1.0351758793981918,20
9.33,1.0351758793982087,20
9.34,1.0351758793982258,20
9.35,1.0351758793982424,20
9.36,1.0351758793982593,20
9.37,1.0351758793982762,20
9.38,1.035175879398293,20
9.39,1.0351758793983095,20
9.4,1.0351758793983266,20
9.41,1.0351758793983437,20
9.42,1.03517587939836,20
9.43,1.035175879398377,20
9.44,1.0351758793983936,20
9.45,1.0351758793984105,20
9.46,1.0351758793984274,20
9.47,1.0351758793984442,20
9.48,1.0351758793984611,20
9.49,1.0351758793984778,20
9.5,1.0351758793984949,20
9.51,1.0351758793985115,20
9.52,1.0351758793985284,20
9.53,1.0351758793985453,20
9.54,1.0351758793985621,20
9.55,1.035175879398579,20
9.56,1.0351758793985957,20
9.57,1.0351758793986128,20
9.58,1.0351758793986292,20
9.59,1.0351758793986463,20
9.6,1.035175879398663,20
9.61,1.0351758793986796,20
9.62,1.0351758793986967,20
9.63,1.0351758793987134,20
9.64,1.0351758793987302,20
9.65,1.035175879398747,20
9.66,1.0351758793987638,20
9.67,1.0351758793987806,20
9.68,1.0351758793987975,20
9.69,1.0351758793988144,20
9.7,1.0351758793988313,20
9.71,1.0351758793988481,20
9.72,1.0351758793988648,20
9.73,1.0351758793988817,20
9.74,1.0351758793988983,20
9.75,1.0351758793989152,20
9.76,1.035175879398932,20
9.77,1.035175879398949,20
9.78,1.0351758793989656,20
9.79,1.0351758793989825,20
9.8,1.0351758793989994,20
9.81,1.035175879399016,20
9.82,1.0351758793990329,20
9.83,1.0351758793990498,20
9.84,1.0351758793990666,20
9.85,1.0351758793990835,20
9.86,1.0351758793991004,20
9.87,1.0351758793991173,20
9.88,1.0351758793991337,20
9.89,1.0351758793991508,20
9.9,1.0351758793991674,20
9.91,1.0351758793991843,20
9.92,1.0351758793992014,20
9.93,1.035175879399218,20
9.94,1.035175879399235,20
9.95,1.0351758793992514,20
9.96,1.0351758793992685,20
9.97,1.0351758793992851,20
9.98,1.035175879399302,20
9.99,1.0351758793993189,20
10,1.0351758793993358,20
10,1.0351758793993358,20
